name,profilelink,monthlyviews,totalviews,questions,answers,followers
Anshul-Sharma-13,https://www.quora.com/profile/Anshul-Sharma-13,234900,19000000,16,769,73821
Mike-Jones-169,https://www.quora.com/profile/Mike-Jones-169,1900000,19000000,83,12389,6267
Ariel-Williams,https://www.quora.com/profile/Ariel-Williams,125400,18900000,524,2754,18634
Cody-Shirk,https://www.quora.com/profile/Cody-Shirk,176700,18900000,2,544,14694
Karen-Marie-Shelton,https://www.quora.com/profile/Karen-Marie-Shelton,946400,18800000,129,2878,7881
David-Joyce-11,https://www.quora.com/profile/David-Joyce-11,232600,18600000,57,5705,20212
Julia-Kvach,https://www.quora.com/profile/Julia-Kvach,423700,18600000,1,165,41848
Lee-Thé,https://www.quora.com/profile/Lee-Thé,597100,18600000,56,5291,4548
Jay-Wacker,https://www.quora.com/profile/Jay-Wacker,139300,18500000,4791,4364,45451
Sunil-Kumar-Gopal,https://www.quora.com/profile/Sunil-Kumar-Gopal,122700,18500000,8,4330,10372
Alexander-Porter-21,https://www.quora.com/profile/Alexander-Porter-21,1700000,18400000,0,174,21346
Faisal-Khan-1,https://www.quora.com/profile/Faisal-Khan-1,107700,18400000,402,5490,23648
Malini-Rajendra,https://www.quora.com/profile/Malini-Rajendra,110700,18400000,285,2947,6722
Ross-Ledehrman,https://www.quora.com/profile/Ross-Ledehrman,528500,18400000,11,2445,8888
Stan-Hayward-1,https://www.quora.com/profile/Stan-Hayward-1,383600,18400000,761,7077,18394
रोहित-निगम-Rohit-Nigam,https://www.quora.com/profile/रोहित-निगम-Rohit-Nigam,303000,18400000,1088,3219,17059
Alan-Bustany,https://www.quora.com/profile/Alan-Bustany,221800,18300000,112,6279,8006
James-Leland-Harp,https://www.quora.com/profile/James-Leland-Harp,400100,18300000,9,24775,10358
Kathleen-Grace,https://www.quora.com/profile/Kathleen-Grace,256600,18300000,68,14040,8241
Caroline-Zelonka,https://www.quora.com/profile/Caroline-Zelonka,494500,18200000,1218,2853,20996
Michael-J-McFadden,https://www.quora.com/profile/Michael-J-McFadden,997700,18200000,822,8441,3776
Dhawal-Barot,https://www.quora.com/profile/Dhawal-Barot,162100,18100000,1,1014,50117
Allen-Lobo,https://www.quora.com/profile/Allen-Lobo,778200,18000000,0,588,18350
Hachi-Ko-1,https://www.quora.com/profile/Hachi-Ko-1,266000,17900000,2,4014,2255
Odedra-Vijay,https://www.quora.com/profile/Odedra-Vijay,94300,17900000,15,771,48249
Senia-Sheydvasser,https://www.quora.com/profile/Senia-Sheydvasser,354700,17900000,9,1950,23576
McKayla-Kennedy,https://www.quora.com/profile/McKayla-Kennedy,169600,17800000,134,3209,24360
Rohan-Jain-16,https://www.quora.com/profile/Rohan-Jain-16,295600,17800000,68,833,83406
Melissa-Myer-1,https://www.quora.com/profile/Melissa-Myer-1,273100,17600000,8,3852,7970
Neil-Menon,https://www.quora.com/profile/Neil-Menon,271800,17600000,773,1066,51114
Alison-Bennett-6,https://www.quora.com/profile/Alison-Bennett-6,258200,17500000,123,11114,5595
Lance-LaSalle,https://www.quora.com/profile/Lance-LaSalle,176700,17400000,58,4705,2867
आदित्य-सिम्हा-Aditya-Simha,https://www.quora.com/profile/आदित्य-सिम्हा-Aditya-Simha,1500000,17400000,458,793,1011
Aaron-Ellis,https://www.quora.com/profile/Aaron-Ellis,133500,17300000,150,1323,11534
